Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Coat Type,Coat Length,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs,Height_Male,Height_Female,Weight_Male,Weight_Female,Life_Expectancy,Temperament,Group,Breed,URL,min_height_male,max_height_male,min_height_female,max_height_female,min_weight_male,max_weight_male,min_weight_female,max_weight_female,min_expectancy,max_expectancy
3,3,2,4,3,4,Double,Medium,2,2,5,3,3,3,2,3,23-30 inches,Info Not Available,99-170 pounds,Info Not Available,10-12 years,"fearless,bold,kind",Foundation stock service,Caucasian Shepherd Dog,https://www.akc.org/dog-breeds/caucasian-shepherd-dog/,58.42,76.2,0.0,0.0,44.905608,77.11064,0.0,0.0,10.0,12.0
5,5,5,2,2,2,Wavy Silky,Medium,4,3,3,3,4,3,3,3,12-13 inches,Info Not Available,13-18 pounds,Info Not Available,12-15 years,"affectionate,gentle,graceful",Toy group,Cavalier King Charles Spaniel,https://www.akc.org/dog-breeds/cavalier-king-charles-spaniel/,30.48,33.02,0.0,0.0,5.896696,8.164656,0.0,0.0,12.0,15.0
3,3,3,3,1,3,Double,Medium,1,3,5,4,4,3,3,3,Minimum: 25.5-27.5 inches,Info Not Available,Minimum: 88-110 pounds,Info Not Available,years,"independent,courageous,self-confident",Foundation stock service,Central Asian Shepherd Dog,https://www.akc.org/dog-breeds/central-asian-shepherd-dog/,64.77,69.85,0.0,0.0,39.916095999999996,49.89512,0.0,0.0,0.0,0.0
4,5,3,2,2,1,Wavy Silky,Medium,4,3,3,4,3,3,3,3,10-13 inches,Info Not Available,14-24 pounds,Info Not Available,12-15 years,"clever,adventurous,family-oriented",Terrier group,Cesky Terrier,https://www.akc.org/dog-breeds/cesky-terrier/,25.4,33.02,0.0,0.0,6.350288,10.886208,0.0,0.0,12.0,15.0
4,3,3,3,3,2,Wiry Wavy,Medium,3,3,4,4,5,4,3,4,23-26 inches (male),21-24 inches (female),65-80 pounds (male),55-70 pounds (female),10-13 years,"bright,affectionate,sensitive",Sporting group,Chesapeake Bay Retriever,https://www.akc.org/dog-breeds/chesapeake-bay-retriever/,58.42,66.04,53.34,60.96,29.48348,36.28736,24.94756,31.75144,10.0,13.0
4,1,3,2,1,1,Smooth,Short Medium,2,4,4,4,3,4,5,3,5-8 inches,Info Not Available,not exceeding 6 pounds,Info Not Available,14-16 years,"charming,graceful,sassy",Toy group,Chihuahua,https://www.akc.org/dog-breeds/chihuahua/,12.7,20.32,0.0,0.0,2.721552,2.721552,0.0,0.0,14.0,16.0
4,3,3,1,2,1,Hairless Silky,Short Medium,4,3,3,4,4,3,3,3,11-13 inches,Info Not Available,8-12 pounds,Info Not Available,13-18 years,"alert,lively,affectionate",Toy group,Chinese Crested,https://www.akc.org/dog-breeds/chinese-crested/,27.94,33.02,0.0,0.0,3.628736,5.443104,0.0,0.0,13.0,18.0
4,3,3,3,1,3,Smooth,Short,3,3,4,4,3,3,3,3,18-20 inches,Info Not Available,45-60 pounds,Info Not Available,8-12 years,"independent,loyal,calm",Non-sporting group,Chinese Shar-Pei,https://www.akc.org/dog-breeds/chinese-shar-pei/,45.72,50.8,0.0,0.0,20.41164,27.215519999999998,0.0,0.0,8.0,12.0
4,5,5,3,3,1,Smooth,Medium,3,3,4,4,4,3,5,3,24-26 inches (male),22-24 inches (female),55-90 pounds (male),50-65 pounds (female),12-15 years,"devoted,smart,patient",Working group,Chinook,https://www.akc.org/dog-breeds/chinook/,60.96,66.04,55.88,60.96,24.94756,40.82328,22.6796,29.48348,12.0,15.0
4,3,2,3,3,3,Smooth Rough Double,Medium,2,3,5,3,3,3,1,3,17-20 inches,Info Not Available,45-70 pounds,Info Not Available,8-12 years,"dignified,bright,serious-minded",Non-sporting group,Chow Chow,https://www.akc.org/dog-breeds/chow-chow/,43.18,50.8,0.0,0.0,20.41164,31.75144,0.0,0.0,8.0,12.0
4,3,4,1,1,1,Smooth,Short,3,4,3,4,4,3,2,3,18-19.5 inches (male),16.5-18 inches (female),22-26 pounds (male),17-22 pounds (female),12-14 years,"independent,friendly,affectionate",Hound group,Cirneco dellâEtna,https://www.akc.org/dog-breeds/cirneco-delletna/,45.72,49.53,41.910000000000004,45.72,9.979023999999999,11.793392,7.711064,9.979023999999999,12.0,14.0
4,3,3,3,2,4,Wavy Silky,Medium,4,3,3,4,4,3,1,3,18-20 inches (male),17-19 inches (female),70-85 pounds (male),55-70 pounds (female),10-12 years,"mellow,amusing,gentlemanly",Sporting group,Clumber Spaniel,https://www.akc.org/dog-breeds/clumber-spaniel/,45.72,50.8,43.18,48.26,31.75144,38.55532,24.94756,31.75144,10.0,12.0
4,5,5,3,4,2,Double Silky,Long,4,3,3,4,4,4,3,3,14.5-15.5 inches (male),13.5-14.5 inches (female),25-30 pounds (male),20-25 pounds (female),10-14 years,"smart,happy,gentle",Sporting group,Cocker Spaniel,https://www.akc.org/dog-breeds/cocker-spaniel/,36.83,39.37,34.29,36.83,11.3398,13.607759999999999,9.07184,11.3398,10.0,14.0
4,5,3,3,3,2,Smooth Rough,Short Long,3,4,3,4,4,3,5,3,24-26 inches (male),22-24 inches (female),60-75 pounds (male),50-65 pounds (female),12-14 years,"devoted,proud,graceful",Herding group,Collie,https://www.akc.org/dog-breeds/collie/,60.96,66.04,55.88,60.96,27.215519999999998,34.0194,22.6796,29.48348,12.0,14.0
5,5,5,2,4,1,Double Wavy,Long,5,4,3,4,4,3,1,3,10-11 inches (male),9-10 inches (female),9-15 pounds (male),8-13 pounds (female),15-19 years,"charming,bright,happy-go-lucky",Non-sporting group,Coton de Tulear,https://www.akc.org/dog-breeds/coton-de-tulear/,25.4,27.94,22.86,25.4,4.082328,6.8038799999999995,3.628736,5.896696,15.0,19.0
3,3,3,2,1,3,Double Wavy,Medium,2,3,5,2,3,3,3,3,16-20 inches,Info Not Available,29-44 pounds,Info Not Available,13-14 years,"loyal,active,alert and intelligent",Foundation stock service,Croatian Sheepdog,https://www.akc.org/dog-breeds/croatian-sheepdog/,40.64,50.8,0.0,0.0,13.154168,19.958047999999998,0.0,0.0,13.0,14.0
5,5,3,2,1,1,Double Curly,Short,3,4,4,4,4,4,3,3,25-27 inches (male),23-25 inches (female),60-95 pounds,Info Not Available,10-12 years,"confident,proud,wickedly smart",Sporting group,Curly-Coated Retriever,https://www.akc.org/dog-breeds/curly-coated-retriever/,63.5,68.58,58.42,63.5,27.215519999999998,43.09124,0.0,0.0,10.0,12.0
5,3,3,3,1,1,N A,Medium,1,1,5,1,1,5,1,5,Minimum: 25.5 males; 23.5 females,Info Not Available,Minimum: 57 males; 44 females,Info Not Available,12-16 years,"loyal,intelligent,active",Foundation stock service,Czechoslovakian Vlcak,https://www.akc.org/dog-breeds/czechoslovakian-vlcak/,64.77,64.77,0.0,0.0,25.854744,25.854744,0.0,0.0,12.0,16.0
5,3,4,2,2,2,Smooth,Short Medium,4,4,4,4,4,3,5,3,8-9 inches (standard),5-6 inches (miniature),16-32 pounds (standard),11 pounds & under (miniature),12-16 years,"curious,friendly,spunky",Hound group,Dachshund,https://www.akc.org/dog-breeds/dachshund/,20.32,22.86,12.7,15.24,7.257472,14.514944,4.9895119999999995,4.9895119999999995,12.0,16.0
5,3,3,4,2,2,Smooth,Short,4,4,4,4,4,4,3,4,19-24 inches,Info Not Available,45-70 pounds,Info Not Available,11-13 years,"dignified,outgoing,smart",Non-sporting group,Dalmatian,https://www.akc.org/dog-breeds/dalmatian/,48.26,60.96,0.0,0.0,20.41164,31.75144,0.0,0.0,11.0,13.0
4,3,3,2,3,1,Double,Medium,4,3,4,3,4,3,3,3,8-11 inches,Info Not Available,18-24 pounds,Info Not Available,12-15 years,"independent,proud,smart",Terrier group,Dandie Dinmont Terrier,https://www.akc.org/dog-breeds/dandie-dinmont-terrier/,20.32,27.94,0.0,0.0,8.164656,10.886208,0.0,0.0,12.0,15.0
5,5,5,2,1,1,Smooth,Short,5,4,4,4,4,4,3,4,12.5-14.5 inches,Info Not Available,15-20 pounds,Info Not Available,11-13 years,"energetic,trainable,attentive",Miscellaneous class,Danish-Swedish Farmdog,https://www.akc.org/dog-breeds/danish-swedish-farmdog/,31.75,36.83,0.0,0.0,6.8038799999999995,9.07184,0.0,0.0,11.0,13.0
4,5,3,2,2,2,Double Wavy,Medium,3,3,3,3,4,3,3,3,18-21 inches,Info Not Available,40-55 pounds,Info Not Available,12-14 years,"friendly,versatile,determined",Foundation stock service,Deutscher Wachtelhund,https://www.akc.org/dog-breeds/deutscher-wachtelhund/,45.72,53.34,0.0,0.0,18.14368,24.94756,0.0,0.0,12.0,14.0
5,5,3,4,1,2,Smooth,Short,4,4,5,4,5,5,3,4,26-28 inches (male),24-26 inches (female),75-100 pounds (male),60-90 pounds (female),10-12 years,"alert,loyal,fearless",Working group,Doberman Pinscher,https://www.akc.org/dog-breeds/doberman-pinscher/,66.04,71.12,60.96,66.04,34.0194,45.3592,27.215519999999998,40.82328,10.0,12.0
5,3,3,4,1,3,Smooth,Short,4,4,5,4,5,5,3,4,24-26.5 inches (male),24-25.5 inches (female),80-100 pounds,Info Not Available,9-15 years,"loyal,courageous,athletic",Working group,Dogo Argentino,https://www.akc.org/dog-breeds/dogo-argentino/,60.96,67.31,60.96,64.77,36.28736,45.3592,0.0,0.0,9.0,15.0
5,3,3,4,1,5,Smooth,Short,3,3,5,4,4,3,3,4,23.27 inches (male),23-26 inches (female),110 pounds & up (male),99 pounds & up (female),5-8 years,"loyal,courageous,affectionate",Working group,Dogue de Bordeaux,https://www.akc.org/dog-breeds/dogue-de-bordeaux/,59.1058,59.1058,58.42,66.04,49.89512,49.89512,44.905608,44.905608,5.0,8.0
3,5,5,3,3,1,N A,Medium,3,3,1,3,5,3,1,5,23-25 (males),21.5 - 23.5 (females),70-73 (males),55-60 (females),11-14 years,"loyal,intelligent,friendly",Foundation stock service,Drentsche Patrijshond,https://www.akc.org/dog-breeds/drentsche-patrijshond/,58.42,63.5,54.61,59.69,31.75144,33.112216,24.94756,27.215519999999998,11.0,14.0
5,5,5,3,1,2,Double,Short,4,4,3,5,5,4,4,4,12-15 inches,Info Not Available,35-40 pounds,Info Not Available,15 years,"loyal,determined,even-tempered",Foundation stock service,Drever,https://www.akc.org/dog-breeds/drever/,30.48,38.1,0.0,0.0,15.87572,18.14368,0.0,0.0,15.0,15.0
5,3,3,3,2,2,Double,Short,3,4,5,4,5,5,2,5,21.5-24.5 inches,Info Not Available,42-75 pounds,Info Not Available,11-14 years,"intelligent,lively,athletic",Miscellaneous class,Dutch Shepherd,https://www.akc.org/dog-breeds/dutch-shepherd/,54.61,62.230000000000004,0.0,0.0,19.050864,34.0194,0.0,0.0,11.0,14.0
5,5,5,3,3,2,Double,Medium Long,4,3,3,4,4,3,3,4,16-17 inches (male),15-16 inches (female),28-34 pounds (male),26-32 pounds (female),12-14 years,"energetic,merry,responsive",Sporting group,English Cocker Spaniel,https://www.akc.org/dog-breeds/english-cocker-spaniel/,40.64,43.18,38.1,40.64,12.700576,15.422128,11.793392,14.514944,12.0,14.0
5,5,5,3,1,2,Double,Short,4,4,3,4,4,4,5,4,24 inches,Info Not Available,60-75 pounds,Info Not Available,10-13 years,"sociable,affectionate,gentle",Hound group,English Foxhound,https://www.akc.org/dog-breeds/english-foxhound/,60.96,60.96,0.0,0.0,27.215519999999998,34.0194,0.0,0.0,10.0,13.0
5,4,4,3,3,3,Double Silky,Medium,4,4,3,4,4,3,3,4,25-27 inches (male),23-25 inches (female),65-80 pounds (male),45-55 pounds (female),12 years,"friendly,mellow,merry",Sporting group,English Setter,https://www.akc.org/dog-breeds/english-setter/,63.5,68.58,58.42,63.5,29.48348,36.28736,20.41164,24.94756,12.0,12.0
5,3,4,3,2,3,Double,Medium,4,4,3,4,5,4,3,4,20 inches (male),19 inches (female),50 pounds (male),40 pounds (female),12-14 years,"friendly,playful,obedient",Sporting group,English Springer Spaniel,https://www.akc.org/dog-breeds/english-springer-spaniel/,50.8,50.8,48.26,48.26,22.6796,22.6796,18.14368,18.14368,12.0,14.0
5,5,5,3,3,2,Double Silky,Medium,3,4,3,4,3,3,2,3,9-10 inches,Info Not Available,8-14 pounds,Info Not Available,10-12 years,"intelligent,playful,gentle",Toy group,English Toy Spaniel,https://www.akc.org/dog-breeds/english-toy-spaniel/,22.86,25.4,0.0,0.0,3.628736,6.350288,0.0,0.0,10.0,12.0
5,3,5,3,1,2,Smooth,Short,3,3,5,4,3,5,3,4,17-21 inches (male),16-20 inches (female),50-65 pounds (male),40-55 pounds (female),11-13 years,"loyal,smart,enthusiastic",Herding group,Entlebucher Mountain Dog,https://www.akc.org/dog-breeds/entlebucher-mountain-dog/,43.18,53.34,40.64,50.8,22.6796,29.48348,18.14368,24.94756,11.0,13.0
5,5,3,3,2,4,Double Wavy,Long,2,3,5,3,4,3,3,3,24.5-29 inches,Info Not Available,77-132 pounds,Info Not Available,10-14 years,"alert,intelligent,brave",Foundation stock service,Estrela Mountain Dog,https://www.akc.org/dog-breeds/estrela-mountain-dog/,62.230000000000004,73.66,0.0,0.0,34.926584,59.874144,0.0,0.0,10.0,14.0
4,4,3,3,3,2,Double,Medium,2,3,3,3,4,3,3,4,19-24 inches,Info Not Available,40-70 pounds,Info Not Available,12-16 years,"confident,calm,family-oriented",Foundation stock service,Eurasier,https://www.akc.org/dog-breeds/eurasier/,48.26,60.96,0.0,0.0,18.14368,31.75144,0.0,0.0,12.0,16.0
5,5,4,3,2,2,Smooth Wavy,Medium,4,3,3,4,5,3,3,3,18 inches (male),17 inches (female),35-50 pounds,Info Not Available,12-13 years,"sweet,fun-loving,sensitive",Sporting group,Field Spaniel,https://www.akc.org/dog-breeds/field-spaniel/,45.72,45.72,43.18,43.18,15.87572,22.6796,0.0,0.0,12.0,13.0
5,4,3,4,2,2,Double,Medium,4,3,3,4,4,3,5,3,18-21 inches (male),16-19 inches (female),33-53 pounds,Info Not Available,12-15 years,"alert,friendly,agile",Herding group,Finnish Lapphund,https://www.akc.org/dog-breeds/finnish-lapphund/,45.72,53.34,40.64,48.26,14.968536,24.040376,0.0,0.0,12.0,15.0
5,5,4,3,2,2,Double,Medium,3,3,3,4,3,5,5,4,17.5-20 inches (male),15.5-18 inches (female),25-33 pounds (male),20-28 pounds (female),13-15 years,"good-natured,friendly,lively",Non-sporting group,Finnish Spitz,https://www.akc.org/dog-breeds/finnish-spitz/,44.45,50.8,39.37,45.72,11.3398,14.968536,9.07184,12.700576,13.0,15.0
5,5,5,3,2,2,Smooth,Medium,5,5,3,5,5,5,3,4,23-24.5 inches (male),22-23.5 inches (female),60-70 pounds,Info Not Available,8-10 years,"cheerful,optimistic,good-humored",Sporting group,Flat-Coated Retriever,https://www.akc.org/dog-breeds/flat-coated-retriever/,58.42,62.230000000000004,55.88,59.69,27.215519999999998,31.75144,0.0,0.0,8.0,10.0
5,5,4,3,1,3,Smooth,Short,5,5,3,5,4,3,1,3,11-13 inches,Info Not Available,under 28 pounds,Info Not Available,10-12 years,"playful,smart,adaptable",Non-sporting group,French Bulldog,https://www.akc.org/dog-breeds/french-bulldog/,27.94,33.02,0.0,0.0,12.700576,12.700576,0.0,0.0,10.0,12.0
5,5,5,3,1,2,Smooth,Medium,5,4,3,5,5,4,3,5,21.5-24 inches,Info Not Available,50-60 pounds,Info Not Available,10-12 years,"intelligent,sociable,gentle",Foundation stock service,French Spaniel,https://www.akc.org/dog-breeds/french-spaniel/,54.61,60.96,0.0,0.0,22.6796,27.215519999999998,0.0,0.0,10.0,12.0
5,5,4,3,1,2,Double,Medium,4,4,3,4,5,4,3,4,22-28 inches,Info Not Available,55-80 pounds,Info Not Available,12-14 years,"versatile,calm,family-oriented",Foundation stock service,German Longhaired Pointer,https://www.akc.org/dog-breeds/german-longhaired-pointer/,55.88,71.12,0.0,0.0,24.94756,36.28736,0.0,0.0,12.0,14.0
5,3,3,3,1,1,Smooth,Short,3,4,4,3,5,5,3,4,17-20 inches,Info Not Available,25-45 pounds,Info Not Available,12-14 years,"intelligent,courageous,vivacious",Working group,German Pinscher,https://www.akc.org/dog-breeds/german-pinscher/,43.18,50.8,0.0,0.0,11.3398,20.41164,0.0,0.0,12.0,14.0
5,5,3,4,2,2,Double,Medium,3,4,5,5,5,5,3,5,24-26 inches (male),22-24 inches (female),65-90 pounds (male),50-70 pounds (female),7-10 years,"courageous,confident,smart",Herding group,German Shepherd Dog,https://www.akc.org/dog-breeds/german-shepherd-dog/,60.96,66.04,55.88,60.96,29.48348,40.82328,22.6796,31.75144,7.0,10.0
5,5,4,3,2,2,Smooth,Short,4,4,4,4,5,5,3,5,23-25 inches (male),21-23 inches (female),55-70 pounds (male),45-60 pounds (female),10-12 years,"friendly,smart,willing to please",Sporting group,German Shorthaired Pointer,https://www.akc.org/dog-breeds/german-shorthaired-pointer/,58.42,63.5,53.34,58.42,24.94756,31.75144,20.41164,27.215519999999998,10.0,12.0
1,3,3,3,3,1,N A,N A,1,4,3,3,5,3,5,5,Toy 8 - 12,Med 12-16,Toy 10-11 lbs,Med 15 - 25 lbs,13-15 years,"active,devoted,smart",Foundation stock service,German Spitz,https://www.akc.org/dog-breeds/german-spitz/,20.32,30.48,30.48,40.64,4.53592,4.9895119999999995,6.8038799999999995,11.3398,13.0,15.0
5,3,3,2,2,2,Wiry Double,Medium,4,4,3,4,5,5,3,4,24-26 inches (male),minimum 22 inches (female),50-70 pounds,Info Not Available,14-16 years,"affectionate,eager,enthusiastic",Sporting group,German Wirehaired Pointer,https://www.akc.org/dog-breeds/german-wirehaired-pointer/,60.96,66.04,55.88,55.88,22.6796,31.75144,0.0,0.0,14.0,16.0
5,3,3,3,4,2,Wiry Double,Medium,3,4,5,4,5,5,3,4,25.5-27.5 inches (male),23.5-25.5 inches (female),60-85 pounds (male),55-75 pounds (female),12-15 years,"alert,loyal,trainable",Working group,Giant Schnauzer,https://www.akc.org/dog-breeds/giant-schnauzer/,64.77,69.85,59.69,64.77,27.215519999999998,38.55532,24.94756,34.0194,12.0,15.0
5,3,3,2,3,2,Wiry,Medium,3,3,3,4,3,3,2,3,12.5-14 inches,Info Not Available,32-40 pounds,Info Not Available,10-15 years,"spirited,gentle,bold",Terrier group,Glen of Imaal Terrier,https://www.akc.org/dog-breeds/glen-of-imaal-terrier/,31.75,35.56,0.0,0.0,14.514944,18.14368,0.0,0.0,10.0,15.0
5,5,5,4,2,2,Double,Medium,5,4,3,5,5,3,1,4,23-24 inches (male),21.5-22.5 inches (female),65-75 pounds (male),55-65 pounds (female),10-12 years,"intelligent,friendly,devoted",Sporting group,Golden Retriever,https://www.akc.org/dog-breeds/golden-retriever/,58.42,60.96,54.61,57.15,29.48348,34.0194,24.94756,29.48348,10.0,12.0
5,3,3,3,2,4,Double,Medium,3,3,4,4,5,5,3,4,24-27 inches (male),23-26 inches (female),55-80 pounds (male),45-70 pounds (female),12-13 years,"confident,affectionate,bold",Sporting group,Gordon Setter,https://www.akc.org/dog-breeds/gordon-setter/,60.96,68.58,58.42,66.04,24.94756,36.28736,20.41164,31.75144,12.0,13.0
5,3,4,3,2,2,Wiry Double,Medium,5,4,3,4,3,5,4,4,15.5-18 inches,Info Not Available,40-45 pounds,Info Not Available,13-15 years,"independent,outgoing,happy",Hound group,Grand Basset Griffon VendÃ©en,https://www.akc.org/dog-breeds/grand-basset-griffon-vendeen/,39.37,45.72,0.0,0.0,18.14368,20.41164,0.0,0.0,13.0,15.0
5,3,3,3,1,4,Smooth,Short,3,4,5,4,3,4,3,4,30-32 inches (male),28-30 inches (female),140-175 pounds (male),110-140 pounds (female),7-10 years,"friendly,patient,dependable",Working group,Great Dane,https://www.akc.org/dog-breeds/great-dane/,76.2,81.28,71.12,76.2,63.50288,79.3786,49.89512,63.50288,7.0,10.0
5,3,3,3,2,3,Double,Medium,3,3,5,3,3,3,3,3,27-32 inches (male),25-29 inches (female),100 pounds & up (male),85 pounds & up (female),10-12 years,"smart,patient,calm",Working group,Great Pyrenees,https://www.akc.org/dog-breeds/great-pyrenees/,68.58,81.28,63.5,73.66,45.3592,45.3592,38.55532,38.55532,10.0,12.0
5,5,3,3,2,3,Smooth,Short,5,4,4,3,4,4,3,4,25.5-28.5 inches (male),23.7-27 inches (female),115-140 pounds (male),85-110 pounds (female),8-11 years,"faithful,family-oriented,dependable",Working group,Greater Swiss Mountain Dog,https://www.akc.org/dog-breeds/greater-swiss-mountain-dog/,64.77,72.39,60.198,68.58,52.16308,63.50288,38.55532,49.89512,8.0,11.0
4,3,4,2,1,1,Smooth,Short,3,3,3,4,3,4,3,3,28-30 inches (male),27-28 inches (female),65-70 pounds (male),60-65 pounds (female),10-13 years,"independent,gentle,noble",Hound group,Greyhound,https://www.akc.org/dog-breeds/greyhound/,71.12,76.2,68.58,71.12,29.48348,31.75144,27.215519999999998,29.48348,10.0,13.0
5,5,3,3,2,2,Smooth,Short,5,4,4,3,4,4,3,4,19-24 inches,Info Not Available,40-75 pounds,Info Not Available,14-17 years,"versatile,agile,regal",Foundation stock service,Hamiltonstovare,https://www.akc.org/dog-breeds/hamiltonstovare/,48.26,60.96,0.0,0.0,18.14368,34.0194,0.0,0.0,14.0,17.0
3,3,5,3,2,2,Smooth,Short,3,3,2,3,4,4,4,3,19-21 inches,Info Not Available,79-99 pounds,Info Not Available,10-14 years,"independent,loyal,calm",Foundation stock service,Hanoverian Scenthound,https://www.akc.org/dog-breeds/hanoverian-scenthound/,48.26,53.34,0.0,0.0,35.833768,44.905608,0.0,0.0,10.0,14.0
5,5,5,3,1,2,Double,Short,4,4,3,4,4,4,5,4,19-21 inches,Info Not Available,45-60 pounds,Info Not Available,12-15 years,"friendly,outgoing,people-oriented",Hound group,Harrier,https://www.akc.org/dog-breeds/harrier/,48.26,53.34,0.0,0.0,20.41164,27.215519999999998,0.0,0.0,12.0,15.0
5,5,5,2,3,1,Double Silky,Long,5,5,3,5,4,3,4,3,8.5-11.5 inches,Info Not Available,7-13 pounds,Info Not Available,14-16 years,"intelligent,outgoing,funny",Toy group,Havanese,https://www.akc.org/dog-breeds/havanese/,21.59,29.21,0.0,0.0,3.175144,5.896696,0.0,0.0,14.0,16.0
5,3,3,3,2,2,Double,Medium,3,3,5,3,4,4,3,4,18-20 inches,Info Not Available,44-66 pounds,Info Not Available,12-15 years,"dignified,alert,devoted",Foundation stock service,Hokkaido,https://www.akc.org/dog-breeds/hokkaido/,45.72,50.8,0.0,0.0,19.958047999999998,29.937072,0.0,0.0,12.0,15.0
5,4,4,3,2,2,Double,Medium,4,4,5,4,4,3,1,4,23-28 inches,Info Not Available,65-90 pounds,Info Not Available,10-14 years,"alert,intelligent,faithful",Foundation stock service,Hovawart,https://www.akc.org/dog-breeds/hovawart/,58.42,71.12,0.0,0.0,29.48348,40.82328,0.0,0.0,10.0,14.0
5,3,5,2,1,1,Wiry Smooth,Short,3,4,3,4,3,5,3,5,23.5-27.5 inches (male),22.5-26 inches (female),50 pounds (male),45 pounds (female),11-14 years,"family-oriented,even-tempered,polite",Hound group,Ibizan Hound,https://www.akc.org/dog-breeds/ibizan-hound/,59.69,69.85,57.15,66.04,22.6796,22.6796,20.41164,20.41164,11.0,14.0
5,5,4,3,2,2,Double,Medium,3,3,4,4,5,4,4,5,18 inches (male),16.5 inches (female),30 pounds (male),25 pounds (female),12-14 years,"friendly,playful,inquisitive",Herding group,Icelandic Sheepdog,https://www.akc.org/dog-breeds/icelandic-sheepdog/,45.72,45.72,41.910000000000004,41.910000000000004,13.607759999999999,13.607759999999999,11.3398,11.3398,12.0,14.0
5,5,5,2,2,2,Double Silky,Medium,5,3,3,5,5,5,3,3,24.5-26 inches (male),22.5-24 inches (female),42-60 pounds (male),35-50 pounds (female),11-15 years,"courageous,spirited,determined",Sporting group,Irish Red and White Setter,https://www.akc.org/dog-breeds/irish-red-and-white-setter/,62.230000000000004,66.04,57.15,60.96,19.050864,27.215519999999998,15.87572,22.6796,11.0,15.0
5,5,5,3,3,2,Silky,Medium,5,5,3,4,4,5,3,4,27 inches (male),25 inches (female),70 pounds (male),60 pounds (female),12-15 years,"active,sweet-natured,outgoing",Sporting group,Irish Setter,https://www.akc.org/dog-breeds/irish-setter/,68.58,68.58,63.5,63.5,31.75144,31.75144,27.215519999999998,27.215519999999998,12.0,15.0
5,5,1,2,1,1,Wiry Double,Medium,3,3,5,4,3,3,3,4,18 inches,Info Not Available,27 pounds (male),25 pounds (female),13-15 years,"bold,dashing,tenderhearted",Terrier group,Irish Terrier,https://www.akc.org/dog-breeds/irish-terrier/,45.72,45.72,0.0,0.0,12.246984,12.246984,11.3398,11.3398,13.0,15.0
5,3,3,1,3,2,Curly,Medium,3,5,3,4,5,3,1,4,22-24 inches (male),21-23 inches (female),55-68 pounds (male),45-58 pounds (female),12-13 years,"playful,hardworking,brave",Sporting group,Irish Water Spaniel,https://www.akc.org/dog-breeds/irish-water-spaniel/,55.88,60.96,53.34,58.42,24.94756,30.844256,20.41164,26.308336,12.0,13.0
